130,r005s002.zp31l10c01,4U CC EGS,4197,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,CCG/CPSA TDX PoC
131,r005s003.zp31l10c01,4U CC EGS,4198,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,PAE for Debug
132,r005s004.zp31l10c01,4U CC EGS,4199,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
133,r005s005.zp31l10c01,4U CC EGS,4200,Maintenance,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
134,r005s006.zp31l10c01,4U CC EGS,4201,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,VEI
135,r005s007.zp31l10c01,4U CC EGS,4202,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_BKC
136,r006s001.zp31l10c01,4U CC EGS,4189,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_DPMO
137,r006s002.zp31l10c01,4U CC EGS,4190,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,VCE
138,r006s003.zp31l10c01,4U CC EGS,4191,Maintenance,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
139,r006s004.zp31l10c01,4U CC EGS,4192,Awaiting Arrival,GDC,EGS - SPR,Archer City,Sapphire Rapids,PSG CXL
140,r006s005.zp31l10c01,4U CC EGS,4193,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,RASP-Golden-CAPI
141,r006s006.zp31l10c01,4U CC EGS,4194,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,BKC
142,r006s007.zp31l10c01,4U CC EGS,4195,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
143,r007s001.zp31l10c01,4U CC EGS,4182,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
144,r007s002.zp31l10c01,4U CC EGS,4183,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_DPMO
145,r007s003.zp31l10c01,4U CC EGS,4184,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_DPMO
